iter	Logloss
0	0.6851346833
1	0.6800797278
2	0.6747182259
3	0.6701100449
4	0.6660599586
5	0.6634264835
6	0.6603341361
7	0.6581852923
8	0.6554876831
9	0.6533275437
10	0.6519780928
11	0.6501433573
12	0.6484151936
13	0.6468136114
14	0.6456872068
15	0.6445068588
16	0.6435293455
17	0.6422689152
18	0.6412147722
19	0.640273366
20	0.6390495674
21	0.6382675309
22	0.6372534573
23	0.6362945082
24	0.6354773113
25	0.6341285264
26	0.6332054393
27	0.6325314117
28	0.6316424267
29	0.630648239
30	0.6299396062
31	0.629208557
32	0.6285254169
33	0.6278041995
34	0.6271279007
35	0.626593082
36	0.6258969798
37	0.625421251
38	0.6248981666
39	0.6240968585
40	0.6236998204
41	0.622867022
42	0.6222404797
43	0.6218019048
44	0.6214264943
45	0.6209082745
46	0.6204424098
47	0.6200752233
48	0.619745811
49	0.619037146
50	0.618688764
51	0.6182845571
52	0.6179457469
53	0.6174798779
54	0.61678277
55	0.6164219609
56	0.6160130658
57	0.6157533448
58	0.6153698136
59	0.6148751831
60	0.6144341798
61	0.6140574196
62	0.6137794216
63	0.6132728799
64	0.6129063293
65	0.6124035901
66	0.6119468455
67	0.6115876535
68	0.6111362965
69	0.6107869589
70	0.6105022672
71	0.6101679603
72	0.6099444321
73	0.60964774
74	0.6093664179
75	0.6091082877
76	0.6087284699
77	0.6084215251
78	0.6082113796
79	0.6079244902
80	0.607647728
81	0.6072850959
82	0.6069358197
83	0.6067365693
84	0.6065150187
85	0.6062880601
86	0.6059620475
87	0.6056806513
88	0.6054111282
89	0.6051628275
90	0.6049931631
91	0.6046594152
92	0.6044423176
93	0.6041813118
94	0.6039034059
95	0.6037182351
96	0.603424026
97	0.6031969228
98	0.6029500548
99	0.6028386104
100	0.6023947387
101	0.6021036103
102	0.601863783
103	0.6016197564
104	0.6014517225
105	0.6011493796
106	0.6010166687
107	0.6007910069
108	0.6006904993
109	0.6004398622
110	0.6001943904
111	0.5999306799
112	0.5997501557
113	0.5995111342
114	0.5991981773
115	0.598898724
116	0.5986220775
117	0.5983647759
118	0.5981813579
119	0.597970424
120	0.5976380462
121	0.597248372
122	0.597007862
123	0.5968208504
124	0.5966308763
125	0.5964217674
126	0.5961727326
127	0.596014045
128	0.595840714
129	0.5955394182
130	0.5953006832
131	0.5950551724
132	0.5947290183
133	0.5944134805
