iter	Passed	Remaining
0	209	209044
1	248	123922
2	286	95333
3	326	81324
4	365	72776
5	405	67163
6	441	62573
7	481	59665
8	515	56722
9	554	54880
10	594	53430
11	630	51937
12	669	50794
13	709	49936
14	743	48808
15	782	48101
16	821	47505
17	861	47003
18	900	46505
19	940	46072
20	981	45753
21	1022	45471
22	1063	45168
23	1098	44690
24	1141	44518
25	1177	44092
26	1218	43896
27	1256	43621
28	1296	43403
29	1331	43049
30	1364	42652
31	1400	42366
32	1439	42187
33	1477	41968
34	1518	41858
35	1555	41658
36	1595	41532
37	1636	41430
38	1675	41297
39	1717	41216
40	1757	41100
41	1792	40888
42	1833	40808
43	1870	40640
44	1908	40493
45	1948	40402
46	1985	40262
47	2028	40240
48	2069	40169
49	2105	40000
50	2176	40494
51	2266	41320
52	2323	41512
53	2380	41702
54	2428	41725
55	2470	41646
56	2516	41626
57	2566	41690
58	2628	41930
59	2683	42038
60	2743	42234
61	2802	42392
62	2862	42572
63	2913	42611
64	2970	42726
65	3030	42881
66	3081	42908
67	3142	43068
68	3204	43230
69	3263	43354
70	3322	43474
71	3379	43552
72	3472	44101
73	3523	44089
74	3566	43989
75	3605	43840
76	3642	43661
77	3685	43559
78	3725	43430
79	3773	43390
80	3814	43283
81	3859	43211
82	3908	43183
83	3955	43128
84	4003	43099
85	4049	43032
86	4091	42934
87	4132	42831
88	4166	42649
89	4204	42513
90	4256	42513
91	4317	42615
92	4367	42598
93	4432	42721
94	4478	42660
95	4562	42961
96	4618	42995
97	4669	42975
98	4719	42950
99	4762	42866
100	4813	42843
101	4859	42781
102	4898	42663
103	4934	42513
104	4978	42436
105	5029	42420
106	5077	42378
107	5132	42390
108	5191	42438
109	5240	42402
110	5319	42602
111	5373	42604
112	5419	42543
113	5461	42443
114	5504	42359
115	5544	42252
116	5584	42144
117	5633	42105
118	5690	42125
119	5745	42134
120	5810	42211
121	5874	42280
122	5937	42335
123	5994	42347
124	6055	42390
125	6126	42493
126	6233	42846
127	6356	43304
128	6482	43770
129	6629	44369
130	6760	44847
131	6829	44910
132	6895	44953
133	6952	44928
134	6999	44847
135	7041	44736
136	7096	44705
137	7139	44593
138	7177	44461
139	7225	44383
140	7266	44268
141	7305	44143
142	7358	44098
143	7451	44293
144	7511	44291
145	7563	44240
146	7611	44169
147	7658	44087
148	7744	44232
149	7813	44276
150	7864	44218
151	7901	44082
152	7955	44043
153	8017	44046
154	8063	43959
155	8107	43865
156	8149	43758
157	8190	43645
158	8235	43557
159	8278	43459
160	8320	43357
161	8371	43304
162	8432	43302
163	8490	43282
164	8537	43206
165	8588	43150
166	8624	43018
167	8669	42933
168	8712	42841
169	8759	42767
170	8826	42790
171	8892	42807
172	8955	42810
173	9011	42779
174	9056	42696
175	9103	42619
176	9146	42529
177	9201	42490
178	9259	42470
179	9310	42413
180	9358	42345
181	9407	42283
182	9445	42170
183	9483	42056
184	9530	41984
185	9588	41960
186	9649	41950
187	9695	41875
188	9736	41780
189	9778	41687
190	9831	41642
191	9880	41580
192	9929	41517
193	9967	41413
194	10013	41337
195	10056	41251
196	10099	41166
197	10153	41127
198	10205	41077
199	10255	41021
200	10298	40935
201	10343	40862
202	10386	40777
203	10432	40705
204	10475	40623
205	10516	40536
206	10554	40432
207	10595	40342
208	10637	40257
209	10683	40190
210	10728	40118
211	10774	40049
212	10816	39963
213	10860	39889
214	10910	39834
215	10963	39792
216	11011	39731
217	11068	39705
218	11147	39753
219	11212	39753
220	11313	39878
221	11397	39942
222	11457	39921
223	11519	39907
224	11560	39819
225	11601	39731
226	11640	39639
227	11680	39551
228	11716	39446
229	11756	39360
230	11796	39270
231	11835	39181
232	11875	39093
233	11920	39021
234	11982	39008
235	12050	39010
236	12103	38964
237	12164	38948
238	12218	38904
239	12272	38863
240	12327	38824
241	12381	38781
242	12467	38838
243	12533	38833
244	12596	38817
245	12645	38759
246	12695	38703
247	12742	38638
248	12787	38567
249	12825	38475
250	12865	38391
251	12906	38310
252	12957	38256
253	13002	38189
254	13047	38120
255	13089	38042
256	13125	37946
257	13163	37857
258	13213	37804
259	13260	37740
260	13302	37665
261	13343	37586
262	13381	37499
263	13422	37421
264	13467	37352
265	13510	37280
266	13555	37212
267	13595	37132
268	13637	37060
269	13685	37002
270	13727	36928
271	13776	36872
272	13827	36822
273	13870	36752
274	13911	36674
275	13954	36604
276	13991	36519
277	14033	36446
278	14084	36398
279	14152	36392
280	14212	36364
281	14255	36295
282	14306	36247
283	14363	36211
284	14416	36168
285	14472	36129
286	14533	36104
287	14585	36058
288	14630	35994
289	14666	35907
290	14714	35851
291	14761	35790
292	14809	35735
293	14850	35662
294	14898	35604
295	14939	35532
296	14988	35477
297	15058	35474
298	15145	35508
299	15228	35534
300	15334	35611
301	15396	35584
302	15457	35557
303	15523	35539
304	15594	35533
305	15687	35579
306	15759	35574
307	15819	35543
308	15889	35533
309	15958	35519
