Код	Размер ссуды, руб	Срок ссуды, мес	Цель ссуды	Среднемесячный доход, руб	Среднемесячный расход, руб	Основное направление расходов	Количество лет	Семейное положение	Количество иждивенцев	Наличие недвижимости	Давать кредит
1	8000	18	Покупка и ремонт недвижимости	6000	3000	Затраты на образование (в т.ч. детей)	38	Да	3	Нет	ИСТИНА
2	7500	24	Иное	14000	12000	Покупка товаров длит. пользования	61	Да	0	Нет	ЛОЖЬ
3	17000	12	Покупка автомобиля	3500	1500	Содержание/аренда недвижимости, а/т	45	Нет	1	Да	ЛОЖЬ
4	12500	36	Оплата за образование	5500	4500	Затраты на образование (в т.ч. детей)	34	Нет	1	Да	ИСТИНА
5	16500	6	Иное	7500	4000	Содержание/аренда недвижимости, а/т	55	Нет	3	Нет	ИСТИНА
6	7500	24	Иное	7500	5000	Содержание/аренда недвижимости, а/т	30	Да	1	Нет	ЛОЖЬ
7	14000	24	Покупка товара	18000	15500	Турпоездки, развлечения и т.п.	24	Да	1	Нет	ИСТИНА
8	9500	18	Оплата за образование	16000	9500	Содержание/аренда недвижимости, а/т	57	Нет	3	Да	ИСТИНА
9	16500	24	Покупка товара	18000	13000	Затраты на образование (в т.ч. детей)	68	Нет	1	Нет	ЛОЖЬ
10	19000	36	Оплата услуг (мед., юрид. и т.п.)	19500	15000	Затраты на образование (в т.ч. детей)	27	Да	1	Да	ИСТИНА
11	15500	18	Оплата услуг (мед., юрид. и т.п.)	3000	2000	Турпоездки, развлечения и т.п.	46	Нет	1	Да	ИСТИНА
12	16000	12	Оплата услуг (мед., юрид. и т.п.)	4500	2500	Содержание/аренда недвижимости, а/т	54	Да	2	Да	ИСТИНА
13	9000	18	Покупка товара	17500	12500	Затраты на образование (в т.ч. детей)	20	Нет	3	Нет	ИСТИНА
14	2500	36	Оплата услуг (мед., юрид. и т.п.)	3000	1000	Содержание/аренда недвижимости, а/т	58	Нет	1	Нет	ЛОЖЬ
15	20500	24	Оплата за образование	4500	1000	Содержание/аренда недвижимости, а/т	39	Нет	1	Да	ИСТИНА
16	27500	6	Оплата за образование	5000	4000	Выплаты по кредитам/займам	45	Нет	1	Нет	ЛОЖЬ
17	18500	36	Покупка автомобиля	18000	6000	Затраты на образование (в т.ч. детей)	37	Нет	0	Нет	ИСТИНА
18	8500	12	Оплата услуг (мед., юрид. и т.п.)	8000	2500	Содержание/аренда недвижимости, а/т	23	Нет	1	Нет	ИСТИНА
19	14000	12	Покупка товара	6500	5000	Покупка товаров длит. пользования	64	Нет	0	Да	ИСТИНА
20	15500	36	Оплата за образование	5000	1500	Выплаты по кредитам/займам	69	Нет	2	Да	ЛОЖЬ
21	13500	24	Иное	10000	3000	Затраты на образование (в т.ч. детей)	31	Да	3	Нет	ЛОЖЬ
22	5500	18	Покупка товара	12500	6000	Содержание/аренда недвижимости, а/т	57	Да	0	Нет	ИСТИНА
23	25500	6	Покупка товара	16000	11000	Покупка товаров длит. пользования	65	Нет	2	Нет	ИСТИНА
24	12500	36	Покупка товара	13000	4500	Затраты на образование (в т.ч. детей)	35	Нет	2	Нет	ЛОЖЬ
25	2000	18	Оплата услуг (мед., юрид. и т.п.)	19500	15500	Покупка товаров длит. пользования	23	Нет	0	Нет	ИСТИНА
26	23500	12	Покупка товара	3500	3000	Затраты на образование (в т.ч. детей)	30	Нет	0	Нет	ЛОЖЬ
27	2000	24	Оплата за образование	10500	7000	Содержание/аренда недвижимости, а/т	48	Да	1	Да	ЛОЖЬ
28	8500	6	Покупка автомобиля	12000	8500	Выплаты по кредитам/займам	24	Да	1	Да	ИСТИНА
29	12500	18	Иное	14000	5500	Затраты на образование (в т.ч. детей)	52	Нет	1	Нет	ИСТИНА
30	25500	18	Покупка товара	2000	1000	Турпоездки, развлечения и т.п.	25	Нет	0	Нет	ЛОЖЬ
31	21500	24	Покупка товара	5500	4500	Содержание/аренда недвижимости, а/т	22	Нет	2	Нет	ИСТИНА
32	19000	24	Покупка товара	10000	8500	Выплаты по кредитам/займам	63	Нет	1	Нет	ЛОЖЬ
33	15000	18	Иное	3000	1500	Выплаты по кредитам/займам	67	Нет	3	Да	ИСТИНА
34	19500	6	Покупка товара	19500	13500	Покупка товаров длит. пользования	66	Да	1	Нет	ИСТИНА
35	26500	12	Покупка и ремонт недвижимости	13500	5000	Выплаты по кредитам/займам	66	Да	2	Нет	ЛОЖЬ
36	27000	24	Иное	16000	10500	Содержание/аренда недвижимости, а/т	30	Нет	2	Нет	ЛОЖЬ
37	23000	6	Оплата за образование	11000	7000	Выплаты по кредитам/займам	63	Да	1	Да	ЛОЖЬ
38	16000	24	Покупка товара	12500	5000	Выплаты по кредитам/займам	23	Нет	1	Нет	ИСТИНА
39	8000	24	Покупка автомобиля	8000	3500	Содержание/аренда недвижимости, а/т	44	Нет	1	Нет	ЛОЖЬ
40	5500	36	Покупка товара	7500	6000	Выплаты по кредитам/займам	45	Да	1	Да	ЛОЖЬ
41	12000	6	Покупка и ремонт недвижимости	4000	1500	Затраты на образование (в т.ч. детей)	64	Да	1	Нет	ИСТИНА
42	19500	24	Иное	5500	2500	Покупка товаров длит. пользования	67	Нет	1	Да	ЛОЖЬ
43	7000	6	Оплата за образование	15500	8500	Содержание/аренда недвижимости, а/т	48	Нет	1	Нет	ЛОЖЬ
44	19500	18	Покупка товара	9500	3500	Содержание/аренда недвижимости, а/т	22	Да	2	Да	ИСТИНА
45	25000	36	Оплата услуг (мед., юрид. и т.п.)	16500	9500	Затраты на образование (в т.ч. детей)	35	Нет	0	Нет	ИСТИНА
46	24000	24	Покупка и ремонт недвижимости	7000	3500	Содержание/аренда недвижимости, а/т	42	Нет	0	Да	ЛОЖЬ
47	11500	36	Оплата услуг (мед., юрид. и т.п.)	14500	8000	Покупка товаров длит. пользования	62	Да	0	Нет	ИСТИНА
48	5500	12	Оплата за образование	17500	11500	Турпоездки, развлечения и т.п.	26	Да	2	Да	ЛОЖЬ
49	26500	18	Оплата за образование	16500	13000	Выплаты по кредитам/займам	65	Да	0	Нет	ЛОЖЬ
50	8000	18	Покупка и ремонт недвижимости	5500	2500	Содержание/аренда недвижимости, а/т	56	Нет	1	Нет	ИСТИНА
51	20000	12	Покупка товара	8500	5000	Турпоездки, развлечения и т.п.	65	Нет	1	Да	ЛОЖЬ
52	28000	18	Оплата услуг (мед., юрид. и т.п.)	6500	2000	Содержание/аренда недвижимости, а/т	34	Нет	1	Нет	ЛОЖЬ
53	28000	12	Покупка товара	16000	12500	Покупка товаров длит. пользования	34	Да	0	Нет	ЛОЖЬ
54	17500	18	Покупка и ремонт недвижимости	16500	8500	Выплаты по кредитам/займам	29	Нет	0	Нет	ИСТИНА
55	13000	36	Покупка и ремонт недвижимости	9500	8000	Турпоездки, развлечения и т.п.	59	Нет	0	Да	ИСТИНА
56	7500	24	Покупка товара	6500	4500	Покупка товаров длит. пользования	32	Да	3	Нет	ЛОЖЬ
57	22500	18	Покупка товара	3000	2000	Выплаты по кредитам/займам	25	Да	2	Нет	ЛОЖЬ
58	13500	24	Оплата за образование	6500	4500	Выплаты по кредитам/займам	61	Нет	1	Да	ИСТИНА
59	10500	6	Оплата за образование	4500	1500	Покупка товаров длит. пользования	44	Нет	2	Нет	ИСТИНА
60	12500	36	Оплата за образование	3000	2000	Затраты на образование (в т.ч. детей)	40	Нет	1	Да	ИСТИНА
61	5500	12	Покупка автомобиля	16000	9000	Выплаты по кредитам/займам	34	Да	1	Нет	ИСТИНА
62	5500	6	Покупка товара	10000	7000	Затраты на образование (в т.ч. детей)	58	Да	0	Нет	ЛОЖЬ
63	12500	12	Покупка товара	19000	14000	Покупка товаров длит. пользования	53	Да	1	Да	ЛОЖЬ
64	18500	12	Покупка и ремонт недвижимости	6500	2000	Выплаты по кредитам/займам	37	Да	0	Нет	ИСТИНА
65	12000	18	Покупка товара	8500	7000	Содержание/аренда недвижимости, а/т	33	Да	0	Нет	ИСТИНА
66	3000	12	Иное	18000	5000	Турпоездки, развлечения и т.п.	38	Нет	1	Нет	ЛОЖЬ
67	10500	18	Покупка автомобиля	13000	10000	Турпоездки, развлечения и т.п.	35	Да	0	Да	ЛОЖЬ
68	3500	36	Покупка автомобиля	7000	4000	Турпоездки, развлечения и т.п.	65	Да	2	Нет	ИСТИНА
69	4000	24	Покупка и ремонт недвижимости	8500	4000	Затраты на образование (в т.ч. детей)	28	Да	0	Нет	ИСТИНА
70	9000	24	Покупка товара	15500	12000	Выплаты по кредитам/займам	47	Нет	3	Да	ЛОЖЬ
71	18000	36	Иное	8500	5500	Турпоездки, развлечения и т.п.	54	Нет	1	Нет	ИСТИНА
72	12000	6	Покупка товара	10500	8000	Турпоездки, развлечения и т.п.	19	Да	1	Нет	ЛОЖЬ
73	3500	24	Покупка товара	10500	7000	Затраты на образование (в т.ч. детей)	54	Да	0	Нет	ИСТИНА
74	17500	12	Оплата услуг (мед., юрид. и т.п.)	10000	6500	Покупка товаров длит. пользования	35	Нет	1	Нет	ИСТИНА
75	27500	24	Иное	10500	6000	Затраты на образование (в т.ч. детей)	19	Нет	0	Нет	ИСТИНА
76	27000	24	Оплата за образование	19000	13500	Содержание/аренда недвижимости, а/т	28	Нет	2	Нет	ИСТИНА
77	26500	36	Покупка автомобиля	6000	4000	Выплаты по кредитам/займам	51	Да	1	Нет	ИСТИНА
78	8000	12	Оплата услуг (мед., юрид. и т.п.)	18000	9500	Затраты на образование (в т.ч. детей)	65	Нет	0	Нет	ЛОЖЬ
79	25000	6	Покупка товара	5500	4000	Выплаты по кредитам/займам	35	Нет	0	Да	ЛОЖЬ
80	6000	24	Покупка и ремонт недвижимости	3000	1500	Затраты на образование (в т.ч. детей)	24	Нет	1	Нет	ИСТИНА
81	10500	36	Иное	7500	5500	Покупка товаров длит. пользования	33	Да	0	Да	ЛОЖЬ
82	5500	36	Покупка и ремонт недвижимости	6000	4000	Затраты на образование (в т.ч. детей)	21	Да	1	Да	ИСТИНА
83	24000	36	Покупка и ремонт недвижимости	13500	11500	Выплаты по кредитам/займам	49	Да	0	Да	ИСТИНА
84	4000	36	Оплата услуг (мед., юрид. и т.п.)	5000	4000	Покупка товаров длит. пользования	51	Нет	0	Нет	ЛОЖЬ
85	16500	6	Покупка товара	5500	4500	Содержание/аренда недвижимости, а/т	37	Да	0	Нет	ИСТИНА
86	6000	18	Оплата за образование	18000	9000	Покупка товаров длит. пользования	48	Да	2	Нет	ИСТИНА
87	27500	12	Покупка товара	16500	12000	Выплаты по кредитам/займам	63	Да	0	Нет	ИСТИНА
88	8000	12	Оплата услуг (мед., юрид. и т.п.)	11500	10000	Содержание/аренда недвижимости, а/т	27	Да	0	Да	ИСТИНА
89	15000	24	Оплата услуг (мед., юрид. и т.п.)	18000	14000	Затраты на образование (в т.ч. детей)	34	Нет	3	Нет	ИСТИНА
90	28500	6	Покупка товара	8500	3500	Выплаты по кредитам/займам	67	Да	0	Нет	ИСТИНА
91	16500	24	Оплата услуг (мед., юрид. и т.п.)	3000	1500	Содержание/аренда недвижимости, а/т	55	Нет	1	Нет	ЛОЖЬ
92	26000	6	Покупка и ремонт недвижимости	17000	7500	Содержание/аренда недвижимости, а/т	66	Нет	1	Да	ЛОЖЬ
93	29000	12	Оплата за образование	3500	2000	Затраты на образование (в т.ч. детей)	36	Нет	0	Нет	ИСТИНА
94	5500	6	Покупка и ремонт недвижимости	8000	6000	Содержание/аренда недвижимости, а/т	43	Нет	1	Да	ЛОЖЬ
95	20000	12	Оплата за образование	10000	8000	Содержание/аренда недвижимости, а/т	61	Нет	0	Нет	ИСТИНА
96	23500	36	Покупка товара	14000	5500	Затраты на образование (в т.ч. детей)	37	Да	3	Нет	ИСТИНА
97	25500	6	Покупка товара	4000	2500	Турпоездки, развлечения и т.п.	45	Нет	1	Нет	ИСТИНА
98	2000	12	Покупка товара	6000	3500	Турпоездки, развлечения и т.п.	27	Нет	2	Нет	ИСТИНА
99	27500	36	Покупка товара	3500	1500	Турпоездки, развлечения и т.п.	67	Да	0	Нет	ИСТИНА
100	20500	12	Покупка и ремонт недвижимости	2000	1000	Содержание/аренда недвижимости, а/т	49	Нет	1	Нет	ИСТИНА
101	9500	12	Покупка товара	5000	3500	Покупка товаров длит. пользования	61	Нет	3	Нет	ИСТИНА
102	10500	36	Иное	14500	5500	Выплаты по кредитам/займам	35	Нет	0	Нет	ЛОЖЬ
103	9500	36	Покупка автомобиля	11500	9000	Затраты на образование (в т.ч. детей)	53	Нет	3	Нет	ИСТИНА
104	12000	6	Покупка и ремонт недвижимости	8000	4000	Покупка товаров длит. пользования	58	Да	2	Нет	ЛОЖЬ
105	29000	6	Покупка и ремонт недвижимости	14000	10000	Покупка товаров длит. пользования	58	Нет	0	Да	ИСТИНА
106	8000	6	Иное	8000	3500	Содержание/аренда недвижимости, а/т	25	Да	1	Нет	ИСТИНА
107	7500	36	Оплата услуг (мед., юрид. и т.п.)	19500	14000	Покупка товаров длит. пользования	63	Нет	2	Да	ИСТИНА
108	17500	12	Покупка товара	6500	2000	Выплаты по кредитам/займам	53	Нет	2	Нет	ЛОЖЬ
