Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов
10000	2000	12	20.12.02	Иное	1	34	Муж	высшее	Да	13	3000	1000	Затраты на образование (в т.ч. детей)
4500	900	6	20.12.02	Иное	1	44	Жен	высшее	Нет	15	7000	3500	Содержание/аренда недвижимости, а/т
28000	5600	6	21.12.02	Оплата за образование	1	49	Муж	высшее	Нет	0	3000	1500	Содержание/аренда недвижимости, а/т
17000	3400	12	22.12.02	Покупка автомобиля	1	47	Жен	среднее	Да	15	10000	5000	Затраты на образование (в т.ч. детей)
13500	2700	24	22.12.02	Покупка товара	1	66	Жен	специальное	Да	9	4000	3000	Выплаты по кредитам/займам
7500	1500	18	22.12.02	Покупка и ремонт недвижимости	1	66	Жен	специальное	Нет	0	2000	500	Выплаты по кредитам/займам
15500	3100	6	23.12.02	Покупка автомобиля	1	41	Муж	среднее	Нет	23	2500	1000	Затраты на образование (в т.ч. детей)
20500	4100	6	24.12.02	Покупка товара	1	36	Муж	высшее	Да	10	8000	3500	Выплаты по кредитам/займам
20500	4100	18	26.12.02	Покупка автомобиля	1	22	Жен	специальное	Нет	23	4500	1500	Турпоездки, развлечения и т.п.
9000	1800	18	27.12.02	Покупка товара	1	56	Жен	высшее	Нет	14	8000	3500	Покупка товаров длит. пользования
26500	5300	6	27.12.02	Оплата за образование	1	37	Муж	высшее	Да	22	10000	6000	Содержание/аренда недвижимости, а/т
21500	4300	24	28.12.02	Покупка товара	1	68	Муж	среднее	Да	15	5500	1500	Выплаты по кредитам/займам
6500	1300	6	28.12.02	Оплата услуг (мед., юрид. и т.п.)	1	38	Жен	высшее	Да	9	12000	6500	Выплаты по кредитам/займам
24500	4900	12	29.12.02	Покупка и ремонт недвижимости	1	37	Жен	среднее	Да	28	13500	9500	Выплаты по кредитам/займам
27000	5400	24	31.12.02	Покупка автомобиля	1	69	Муж	специальное	Да	7	7500	3000	Содержание/аренда недвижимости, а/т
27000	5400	24	01.01.03	Оплата за образование	1	56	Жен	высшее	Нет	7	14500	7000	Выплаты по кредитам/займам
25000	5000	12	01.01.03	Покупка товара	1	37	Муж	специальное	Нет	0	4500	2500	Затраты на образование (в т.ч. детей)
4000	800	18	03.01.03	Покупка товара	1	60	Жен	специальное	Да	11	10500	3000	Содержание/аренда недвижимости, а/т
10500	2100	18	03.01.03	Покупка товара	1	40	Муж	специальное	Да	21	12000	7000	Покупка товаров длит. пользования
11000	2200	12	04.01.03	Покупка товара	1	27	Жен	высшее	Да	7	9500	5000	Затраты на образование (в т.ч. детей)
16000	3200	6	05.01.03	Иное	1	36	Жен	специальное	Да	27	12000	6500	Турпоездки, развлечения и т.п.
7500	1500	6	05.01.03	Покупка и ремонт недвижимости	1	41	Жен	высшее	Да	7	9000	5000	Покупка товаров длит. пользования
6500	1300	18	05.01.03	Покупка товара	1	35	Жен	среднее	Да	14	3500	2000	Покупка товаров длит. пользования
6000	1200	24	05.01.03	Покупка товара	1	30	Муж	среднее	Нет	8	12500	4000	Выплаты по кредитам/займам
10000	2000	12	06.01.03	Иное	1	49	Муж	высшее	Да	24	7000	3500	Турпоездки, развлечения и т.п.
26500	5300	6	07.01.03	Покупка товара	1	63	Муж	среднее	Да	12	10000	3500	Содержание/аренда недвижимости, а/т
2500	500	12	08.01.03	Оплата за образование	1	48	Жен	среднее	Да	16	11000	3500	Выплаты по кредитам/займам
15500	3100	6	08.01.03	Покупка товара	1	52	Муж	среднее	Нет	12	4000	2500	Содержание/аренда недвижимости, а/т
17500	3500	18	08.01.03	Покупка автомобиля	1	43	Жен	специальное	Да	15	4000	2000	Содержание/аренда недвижимости, а/т
27000	5400	6	09.01.03	Покупка автомобиля	1	71	Муж	среднее	Нет	10	11500	7000	Турпоездки, развлечения и т.п.
3000	600	12	09.01.03	Оплата за образование	1	30	Жен	среднее	Нет	15	8000	3000	Содержание/аренда недвижимости, а/т
3500	700	6	10.01.03	Покупка товара	1	29	Муж	среднее	Да	7	12500	4000	Покупка товаров длит. пользования
28500	5700	18	11.01.03	Иное	1	69	Муж	специальное	Нет	23	10500	8000	Выплаты по кредитам/займам
12500	2500	24	11.01.03	Покупка товара	1	59	Жен	среднее	Да	4	11500	4000	Выплаты по кредитам/займам
11500	2300	18	12.01.03	Оплата услуг (мед., юрид. и т.п.)	1	68	Муж	среднее	Нет	19	6000	2500	Покупка товаров длит. пользования
14000	2800	18	12.01.03	Оплата услуг (мед., юрид. и т.п.)	1	23	Жен	среднее	Да	29	9500	7000	Турпоездки, развлечения и т.п.
24500	4900	24	13.01.03	Оплата услуг (мед., юрид. и т.п.)	1	40	Муж	высшее	Да	13	9500	4500	Турпоездки, развлечения и т.п.
23500	4700	6	14.01.03	Иное	1	74	Муж	высшее	Нет	10	10000	6000	Затраты на образование (в т.ч. детей)
13500	2700	24	14.01.03	Оплата услуг (мед., юрид. и т.п.)	1	25	Жен	специальное	Да	10	9000	3000	Затраты на образование (в т.ч. детей)
14000	2800	6	15.01.03	Покупка автомобиля	1	58	Муж	среднее	Да	22	5000	2000	Турпоездки, развлечения и т.п.
24500	4900	6	16.01.03	Оплата услуг (мед., юрид. и т.п.)	1	62	Муж	специальное	Нет	11	2000	1000	Выплаты по кредитам/займам
20000	4000	24	16.01.03	Оплата за образование	1	26	Муж	среднее	Да	0	9500	5000	Затраты на образование (в т.ч. детей)
26000	5200	12	17.01.03	Иное	1	22	Муж	высшее	Нет	28	2000	1000	Содержание/аренда недвижимости, а/т
2000	400	24	18.01.03	Оплата услуг (мед., юрид. и т.п.)	1	63	Жен	специальное	Нет	19	14000	4500	Турпоездки, развлечения и т.п.
4500	900	18	18.01.03	Покупка автомобиля	1	42	Жен	специальное	Нет	16	13000	4500	Выплаты по кредитам/займам
3000	600	24	19.01.03	Оплата услуг (мед., юрид. и т.п.)	1	64	Жен	высшее	Нет	14	6000	3000	Выплаты по кредитам/займам
12500	2500	12	20.01.03	Оплата услуг (мед., юрид. и т.п.)	1	56	Муж	среднее	Да	8	11000	3500	Содержание/аренда недвижимости, а/т
19000	3800	12	22.01.03	Покупка и ремонт недвижимости	1	43	Жен	высшее	Нет	10	13000	4000	Затраты на образование (в т.ч. детей)
29000	5800	12	27.01.03	Покупка автомобиля	1	40	Муж	среднее	Нет	8	4500	1000	Турпоездки, развлечения и т.п.
25500	5100	18	27.01.03	Иное	1	44	Жен	специальное	Нет	1	10000	7000	Содержание/аренда недвижимости, а/т
14500	2900	18	27.01.03	Покупка и ремонт недвижимости	1	52	Жен	специальное	Да	11	12000	8000	Турпоездки, развлечения и т.п.
7500	1500	18	29.01.03	Покупка товара	1	43	Муж	специальное	Нет	7	8500	5000	Турпоездки, развлечения и т.п.
18500	3700	18	30.01.03	Покупка товара	1	22	Жен	специальное	Нет	15	11500	5000	Содержание/аренда недвижимости, а/т
24500	4900	12	30.01.03	Покупка автомобиля	1	46	Жен	высшее	Нет	8	13000	9000	Затраты на образование (в т.ч. детей)
20500	4100	6	31.01.03	Покупка автомобиля	1	51	Муж	специальное	Нет	17	2500	500	Турпоездки, развлечения и т.п.
5500	1100	6	01.02.03	Оплата за образование	1	18	Муж	специальное	Нет	0	11000	8000	Затраты на образование (в т.ч. детей)
9000	1800	24	02.02.03	Оплата за образование	1	72	Жен	специальное	Нет	18	9500	4500	Покупка товаров длит. пользования
25000	5000	12	02.02.03	Покупка автомобиля	1	50	Жен	среднее	Да	13	10000	4000	Покупка товаров длит. пользования
27000	5400	12	06.02.03	Оплата за образование	1	55	Жен	специальное	Нет	20	4500	2000	Покупка товаров длит. пользования
12000	2400	12	07.02.03	Оплата услуг (мед., юрид. и т.п.)	1	52	Муж	среднее	Да	9	11500	7000	Затраты на образование (в т.ч. детей)
